Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
Troop E,Salisbury,United States,Rowan County,"Salisbury, NC",North Carolina St Highway Patrol,,704-639-7595,,North Carolina,Troop Locations,,28147-9396,704-855-1720,5780 S Main St
Troop T,Albany,United States,Albany County,"Albany, NY",New York State Police,,518-436-2825,,New York,Troop Locations,,12209-2018,518-436-4421,200 Southern Blvd
395 Main St,Hawesville,United States,Hancock County,"Hawesville, KY",Hawesville Police Department,1,270-927-8707,1300,Kentucky,Police Departments,,42348-2619,270-927-8184,
District 6,Gallup,United States,McKinley County,"Gallup, NM",New Mexico Department of Public Safety,,505-863-9353,,New Mexico,Troop Locations,,,505-722-2043,4200 E Historic Hwy 66
325 W 2nd St,Calhoun,United States,McLean County,"Calhoun, KY",Calhoun Police Department,2,270-273-3092,854,Kentucky,Police Departments,,42327-2011,270-273-9717,
309 W 2nd,Beaver Dam,United States,Ohio County,"Beaver Dam, KY",Beaver Dam Police Department,5,270-274-7106,2900,Kentucky,Police Departments,,42320-2040,270-274-8596,
117 N Main St,Morgantown,United States,Butler County,"Morgantown, KY",Morgantown Police Department,5,270-526-3662,2000,Kentucky,Police Departments,,42261-7913,270-526-2093,
Physical Address Not Provided,Jefferson City,United States,Phelps County,"Jefferson City, MO",Missouri State Highway Patrol,,573-368-2345,,Missouri,Troop Locations,,65102,573-368-2352,
Troop E,Scottsbluff,United States,Scotts Bluff County,"Scottsbluff, NE",Nebraska State Patrol,,308-632-1211,,Nebraska,Troop Locations,,69363,308-632-1345,4500 Ave I
Troop H,Meridian,United States,Lauderdale County,"Meridian, MS",Mississippi Highway Safety Patrol,,601-693-1926,,Mississippi,Troop Locations,,39304-5803,601-987-1556,841 Hwy 19 N
206 N Magnolia St,Tompkinsville,United States,Monroe County,"Tompkinsville, KY",Tompkinsville Police Department,6,270-487-6191,4200,Kentucky,Police Departments,,42167-1624,270-487-9547,
District 6,Grand Rapids,United States,Kent County,"Grand Rapids, MI",Michigan State Police,,616-647-0800,,Michigan,Troop Locations,,49544-8221,616-784-8046,588 Three Mile Rd
407 Poplar St,Murray,United States,Calloway County,"Murray, KY",Murray Police Department,24,270-753-1621,14600,Kentucky,Police Departments,,42071-2539,270-762-0303,
Troop L,Mandeville,United States,St Tammany Parish,"Mandeville, LA",Louisiana State Police,,985-893-6250,,Louisiana,Troop Locations,,,985-893-6255,2600 N Causeway Approach
211 E Broadway St,Mayfield,United States,Graves County,"Mayfield, KY",Mayfield Police Department,25,270-247-1981,10000,Kentucky,Police Departments,,42066-2300,270-247-2485,
801 Moscow Ave,Hickman,United States,Fulton County,"Hickman, KY",Hickman Police Department,5,270-236-2529,2800,Kentucky,Police Departments,,42050-1401,270-236-9375,
Troop B,Topeka,United States,Shawnee County,"Topeka, KS",Kansas Highway Patrol,,785-296-3102,,Kansas,Troop Locations,,66606-2022,785-296-0726,220 Gage Blvd
1315 Fifth Ave,Calvert City,United States,Marshall County,"Calvert City, KY",Calvert City Police Department,5,270-395-4545,3000,Kentucky,Police Departments,,,270-395-4500,
District 15,Des Moines,United States,Polk County,"Des Moines, IA",Iowa State Patrol,,515-281-6176,,Iowa,Troop Locations,,50313-1398,515-289-1066,5912 NW Second Ave
265 Front St,Bardwell,United States,Carlisle County,"Bardwell, KY",Bardwell Police Department,2,270-628-5415,1000,Kentucky,Police Departments,,,270-628-3246,
200 N Lake Dr,Prestonsburg,United States,Floyd County,"Prestonsburg, KY",Prestonsburg Police Department,15,606-886-1010,3800,Kentucky,Police Departments,,41653-7758,606-886-1044,
800 High St,Hazard,United States,Perry County,"Hazard, KY",Hazard Police Department,22,606-436-2222,8000,Kentucky,Police Departments,,41701-1314,606-439-0956,
Post 48,Atlanta,United States,Fulton County,"Atlanta, GA",Georgia Department of Public Safety,,404-699-4368,,Georgia,Troop Locations,,30336-1503,404-699-6813,3940 Aviation Cir
Reg 5 - Pocatello,Pocatello,United States,Bannock County,"Pocatello, ID",Idaho State Police,,208-236-6466,,Idaho,Troop Locations,,83204-2299,208-236-6068,5205 S 5th Ave
853 Lakeside Dr,Jenkins,United States,Letcher County,"Jenkins, KY",Jenkins Police Department,5,606-832-2141,2700,Kentucky,Police Departments,,41537-9700,606-832-2362,
315 E Maple St,Salyersville,United States,Magoffin County,"Salyersville, KY",Salyersville Police Department,4,606-349-3255,2200,Kentucky,Police Departments,,41465-9467,606-349-2449,
Troop H,Tallahassee,United States,Leon County,"Tallahassee, FL",Florida Highway Patrol,,850-488-8676,,Florida,Troop Locations,,32308-6126,850-488-2441,2100 Mahan Dr
Troop 6,Wilmington,United States,New Castle County,"Wilmington, DE",Delaware State Police,,302-633-5000,,Delaware,Troop Locations,,19808-6131,302-633-5019,3301 Kirkwood Hwy
61 River Dr,Beattyville,United States,Lee County,"Beattyville, KY",Beattyville Police Department,5,606-464-5030,1100,Kentucky,Police Departments,,41311-8723,606-464-5035,
101 Euclid Ave,Paintsville,United States,Johnson County,"Paintsville, KY",Paintsville Police Department,12,606-789-4221,5300,Kentucky,Police Departments,,41240-1112,606-789-9406,
711 Chinn St,Raceland,United States,Greenup County,"Raceland, KY",Raceland Police Department,8,606-836-8621,3000,Kentucky,Police Departments,,41169-1113,606-836-8742,
Troop W,Windsor Locks,United States,Hartford County,"Windsor Locks, CT",Connecticut State Police,,860-292-7444,,Connecticut,Troop Locations,,06096-1057,,Bradley Intl Airport (BIA)
Troop A,Pueblo,United States,Pueblo County,"Pueblo, CO",Colorado State Patrol,,719-546-5465,,Colorado,Troop Locations,,81001-2915,719-546-5742,902 Erie Ave
615 Second St,Vanceburg,United States,Lewis County,"Vanceburg, KY",Vanceburg Police Department,7,606-796-2111,2300,Kentucky,Police Departments,,41179-1051,606-796-6096,
Border Division,San Diego,United States,San Diego County,"San Diego, CA",California Highway Patrol,,858-637-7158,,California,Troop Locations,,92123-1284,858-637-7133,9330 Farnham St
1660 Rodger Patton Dr,Olive Hill,United States,Carter County,"Olive Hill, KY",Olive Hill Police Department,7,606-286-2551,2000,Kentucky,Police Departments,,,606-286-8538,
Headquarters,Cheyenne,United States,Laramie County,"Cheyenne, WY",Wyoming Highway Patrol,,307-777-4301,,Wyoming,Headquarters,,82009-3340,307-777-3897,5300 Bishop Blvd
2513 Reed St,Flatwoods,United States,Greenup County,"Flatwoods, KY",Flatwoods Police Department,10,606-836-8189,13000,Kentucky,Police Departments,,41139-2505,606-833-9448,
Headquarters,Helena,United States,Lewis and Clark County,"Helena, MT",Montana Highway Patrol,205,406-444-3780,890000,Montana,Headquarters,,59620-9709,406-444-4169,2550 Prospect Ave
2600 Broadway St,Catlettsburg,United States,Boyd County,"Catlettsburg, KY",Catlettsburg Police Department,8,606-739-5127,3500,Kentucky,Police Departments,,,606-739-5022,
400 N Main St,Williamstown,United States,Grant County,"Williamstown, KY",Williamstown Police Department,5,859-824-1111,3300,Kentucky,Police Departments,,41097-1026,859-824-0643,
Headquarters,Little Rock,United States,Pulaski County,"Little Rock, AR",Arkansas State Police,,501-618-8200,,Arkansas,Headquarters,,72209-4822,501-618-8222,1 State Police Plz Dr
3038 W 850 S,Bunker Hill,United States,Miami County,"Bunker Hill, IN",Miami Correctional Facility,,765-689-8920,,Indiana,Adult Institutions,,46914-9810,765-689-7479,
1313 Farnam-on-the-Mall,Omaha,United States,Douglas County,"Omaha, NE",Omaha HHS,,402-595-2871,,Nebraska,Youth Institutions,,,402-595-2872,
1600 10th St,Gering,United States,Scotts Bluff County,"Gering, NE",Gering HHS,,308-436-6500,,Nebraska,Youth Institutions,,69341-2410,308-436-6542,
400 Oak St,Taft,United States,Muskogee County,"Taft, OK",Dr Eddie Warrior Correctional Center,,918-683-8365,,Oklahoma,Adult Institutions,,,918-682-4782,
8101 State Rd,Philadelphia,United States,Philadelphia County,"Philadelphia, PA",Alternative & Special Detention,,215-685-8730,,Pennsylvania,Adult Institutions,,19136-2910,215-685-8870,
520 Licking Pike,Wilder,United States,Campbell County,"Wilder, KY",Wilder Police Department,10,859-581-8863,3000,Kentucky,Police Departments,,41071-5450,859-581-9513,
4111 South St,Marianna,United States,Jackson County,"Marianna, FL",Jackson Juvenile Offender Corrections Center,,850-718-0245,,Florida,Youth Institutions,,32446-4016,850-718-0294,
6624 Beard Woods Ln,Harrisonburg,United States,Rockingham County,"Harrisonburg, VA",Harrisonburg Men's Diversion Center,,540-833-2011,,Virginia,Adult Probation & Parole,,22802-1479,540-833-6205,
6900 Atmore Dr,Richmond,United States,Richmond City County,"Richmond, VA",Virginia Parole Board,,804-674-3081,,Virginia,Adult Probation & Parole,,23225-5644,804-674-3284,
384 Eskimo Hill Rd,Stafford,United States,Stafford County,"Stafford, VA",Stafford Detention Center,,540-659-2093,,Virginia,Adult Probation & Parole,,22554-7308,540-659-1417,
212 Main St,Falmouth,United States,Pendleton County,"Falmouth, KY",Falmouth Police Department,8,859-654-5555,2400,Kentucky,Police Departments,,41040-1223,859-654-4460,
104 E Pleasant St,Cynthiana,United States,Harrison County,"Cynthiana, KY",Cynthiana Police Department,19,859-234-7157,7200,Kentucky,Police Departments,,41031-1597,859-234-7100,
4501 Dixie Hwy,Elsmere,United States,Kenton County,"Elsmere, KY",Elsmere Police Department,11,859-342-7344,7500,Kentucky,Police Departments,,41018-1823,859-342-7062,
24414 Musselwhite Dr,Waverly,United States,Sussex County,"Waverly, VA",Sussex I-State Prison,,804-834-9967,,Virginia,Adult Institutions,,23891-1111,804-834-4084,
252 W Main St,Abingdon,United States,Washington County,"Abingdon, VA",Mtn Empire Day Reporting Center,,276-676-5505,,Virginia,Adult Probation & Parole,,24210-2772,276-628-5489,
739 Buttermilk Pike,Crescent Springs,United States,Kenton County,"Crescent Springs, KY",Crescent Springs Police Department,9,859-341-3018,4400,Kentucky,Police Departments,,41017-1376,859-331-5249,
1356 American Dr,Neenah,United States,Winnebago County,"Neenah, WI",Juvenile Community Corrections,,920-729-3900,,Wisconsin,Juvenile Probation & Parole,,54956-1402,920-729-3903,
4200 N Holton St Ste 110,Milwaukee,United States,Milwaukee County,"Milwaukee, WI",Milwaukee Report Center,,414-229-0680,,Wisconsin,Juvenile Probation & Parole,,53212-1065,414-229-0686,
719 Rogers Rd,Villa Hills,United States,Kenton County,"Villa Hills, KY",Villa Hills Police Department,7,859-341-3535,7739,Kentucky,Police Departments,,41017-1019,859-341-3579,
500 E Parrish St,Prairie du Chien,United States,Crawford County,"Prairie du Chien, WI",Prairie du Chien Correctional Institution,100,608-326-7828,,Wisconsin,Adult Institutions,,53821-2729,608-326-7736,
2355 Dixie Hwy,Ft Mitchell,United States,Kenton County,"Ft Mitchell, KY",Fort Mitchell Police Department,12,859-331-1212,8000,Kentucky,Police Departments,,41017-2948,859-331-6102,
Region 3,Everett,United States,Snohomish County,"Everett, WA",Juvenile Rehabilitation Admin,,425-339-1912,,Washington,Youth Institutions,,98201-3540,425-339-1916,1509 California St
9 Buttermilk Pike,Lakeside Park,United States,Kenton County,"Lakeside Park, KY",Lakeside Park/Crestview Hills Police Department,8,859-331-5368,7000,Kentucky,Police Departments,,41017-2132,859-331-7745,
830 E Main St,Vernal,United States,Uintah County,"Vernal, UT",Split Mountain Youth Center,,435-789-2045,,Utah,Youth Institutions,,84078-2708,435-789-2245,
231 Elm St,Ludlow,United States,Kenton County,"Ludlow, KY",Ludlow Police Department,8,859-261-8186,5000,Kentucky,Police Departments,,41016-1547,859-392-2874,
703 8th Ave,Seattle,United States,King County,"Seattle, WA",Bishop Lewis House Work Release,,206-464-7000,,Washington,Adult Institutions,,98104-1996,206-682-4567,
524 E Bruneau,Kennewick,United States,Benton County,"Kennewick, WA",Tri-Cities Work/Training Release,,509-585-1560,,Washington,Adult Institutions,,99336-3725,509-585-1574,
2011 S 64th Ave,Yakima,United States,Yakima County,"Yakima, WA",Athanum Work Release/Corr Complex,,509-573-6312,,Washington,Adult Institutions,,98903-1097,509-573-6311,
1340 Lloyd Pkwy,Port Orchard,United States,Kitsap County,"Port Orchard, WA",Peninsula Work Release,,360-895-6158,,Washington,Adult Institutions,,98367-9186,360-895-6172,
1821 1st Ave,Longview,United States,Cowlitz County,"Longview, WA",Longview Work Release,15,360-577-2211,,Washington,Adult Institutions,,98632-3222,360-578-5235,
5197 NW Lower River Rd,Vancouver,United States,Clark County,"Vancouver, WA",Clark County Work Release,,360-397-2138,,Washington,Adult Institutions,,,360-397-6094,
191 Constantine Way,Aberdeen,United States,Grays Harbor County,"Aberdeen, WA",Stafford Creek Corrections Center,,360-537-1800,,Washington,Adult Institutions,,98520-9504,360-537-1807,
5227 Taylor Mill Rd,Taylor Mill,United States,Kenton County,"Taylor Mill, KY",Taylor Mill Police Department,8,859-581-1192,7200,Kentucky,Police Departments,,41015-2127,859-581-0220,
751 S Pine St,Medical Lake,United States,Spokane County,"Medical Lake, WA",Pine Lodge Pre-Release,,509-299-2300,,Washington,Adult Institutions,,,509-299-2308,
427 W 7th Ave,Spokane,United States,Spokane County,"Spokane, WA",Eleanor Chase House Work Release,,509-456-6318,,Washington,Adult Institutions,,99204-2611,509-458-2000,
1127 N Garden St,Bellingham,United States,Whatcom County,"Bellingham, WA",Bellingham Work Release,,360-676-2150,,Washington,Adult Institutions,,98225-5123,360-738-6191,
Waco District Office,Waco,United States,McLennan County,"Waco, TX",Juvenile Contract & Parole Services,,254-755-7052,,Texas,Juvenile Probation & Parole,,76701-2023,254-755-7074,717 Franklin Ave Ste 100
409 Kyles Ln,Ft Wright,United States,Kenton County,"Ft Wright, KY",Fort Wright Police Department,11,859-331-2191,7000,Kentucky,Police Departments,,41011-3743,859-331-1330,
1212 N Velasco Ste 201,Angleton,United States,Brazoria County,"Angleton, TX",Board of Pardons & Paroles,,979-849-3031,,Texas,Adult Probation & Parole,,77515-3064,979-849-8741,
1210 Coryell City Rd,Gatesville,United States,Coryell County,"Gatesville, TX",Woodman State Jail,158,254-865-9398,,Texas,Adult Institutions,,76528-2913,254-865-2940,
1695 S Buffalo Dr,Raymondville,United States,Willacy County,"Raymondville, TX",Willacy County State Jail,153,956-689-4900,,Texas,Adult Institutions,,78580-4115,956-689-4001,
904 FM 686,Dayton,United States,Liberty County,"Dayton, TX",Plane State Jail,284,936-258-2476,,Texas,Adult Institutions,,77535-2299,936-257-0269,
1620 Old Post Oak Rd,Jacksboro,United States,Bell County,"Jacksboro, TX",Lindsey State Jail,,940-567-2272,,Texas,Adult Institutions,,76458,940-567-2292,
707 Top St,Houston,United States,Harris County,"Houston, TX",Kegans State Jail,,713-224-6584,,Texas,Adult Institutions,,77002-1223,713-224-6212,
6535 Cagnon Rd,San Antonio,United States,Bexar County,"San Antonio, TX",Dominguez State Jail,,210-675-6620,,Texas,Adult Institutions,,78252-2225,210-677-0316,
1500 E Langdon Rd,Dallas,United States,Dallas County,"Dallas, TX",Hutchins State Jail,,972-225-1304,,Texas,Adult Institutions,,75241-7199,972-225-8355,
3801 Silo Rd,Bonham,United States,Fannin County,"Bonham, TX",Buster Cole State Jail,152,903-583-1100,,Texas,Adult Institutions,,75418-5817,903-583-7903,
3900 W Loop 571 N,Henderson,United States,Rusk County,"Henderson, TX",Bradshaw State Jail,220,903-655-0880,,Texas,Adult Institutions,,75652-5259,903-655-0500,
1018 Arnold Dr,Bartlett,United States,Bell County,"Bartlett, TX",Bartlett State Jail,,254-527-3300,,Texas,Adult Institutions,,76511-4075,254-527-4489,
4176 FM 1800,Breckenridge,United States,Stephens County,"Breckenridge, TX",Sayle Unit,,254-559-1581,,Texas,Adult Institutions,,76424-7301,254-559-5738,
703 Airport Rd,Winnsboro,United States,Wood County,"Winnsboro, TX",Johnston Unit,,903-342-6166,,Texas,Adult Institutions,,75494-7002,903-342-1200,
800 Ellen Halbert Dr,Burnet,United States,Burnet County,"Burnet, TX",Halbert Unit,90,512-756-6171,,Texas,Adult Institutions,,,512-715-9200,
